" "Hided | 4079650 | Write comment to post | 0.09 | id759752686
Success | 4084412 | Join group | 0.08 | kaio_medeiros
Success | 4083401 | Join group | 0.08 | kaio_medeiros
Success | 4082087 | Join group | 0.08 | kaio_medeiros
Success | 4081514 | Follow page | 0.08 | kaio_medeiros
Success | 4081492 | Follow page | 0.08 | kaio_medeiros
Success | 4081484 | Follow page | 0.08 | kaio_medeiros
Success | 4080249 | Join group | 0.08 | kaio_medeiros
Success | 4067460 | Follow page | 0.08 | kaio_medeiros
Hided | 4058538 | Follow user | 0.08 | kaio_medeiros
Success | 4020536 | Follow page | 0.08 | kaio_medeiros
Success | 4006277 | Follow page | 0.08 | kaio_medeiros
Success | 3999298 | Follow page | 0.08 | kaio_medeiros
Success | 3967286 | Follow page | 0.08 | kaio_medeiros
Success | 3966450 | Follow page | 0.08 | kaio_medeiros
Success | 3920686 | Follow page | 0.08 | kaio_medeiros
Success | 3920685 | Follow page | 0.08 | kaio_medeiros
Success | 3913910 | Follow page | 0.08 | kaio_medeiros
Success | 3913909 | Follow page | 0.08 | kaio_medeiros
Success | 3913908 | Follow page | 0.08 | kaio_medeiros
Success | 3913907 | Follow page | 0.08 | kaio_medeiros
Success | 3819129 | Follow page | 0.08 | kaio_medeiros
Success | 3819128 | Follow page | 0.08 | kaio_medeiros
Success | 3819126 | Follow page | 0.08 | kaio_medeiros
Success | 3650225 | Follow page | 0.08 | kaio_medeiros
Success | 3456732 | Follow page | 0.08 | kaio_medeiros
Success | 3397930 | Follow page | 0.08 | kaio_medeiros
Success | 3351028 | Follow page | 0.08 | kaio_medeiros
Success | 3285020 | Follow page | 0.08 | kaio_medeiros
Success | 3264602 | Follow page | 0.08 | kaio_medeiros
Success | 3264596 | Follow page | 0.08 | kaio_medeiros
Success | 3258742 | Follow page | 0.08 | kaio_medeiros
Success | 3245009 | Follow page | 0.08 | kaio_medeiros
Success | 3230156 | Follow page | 0.08 | kaio_medeiros
Success | 3204754 | Follow page | 0.08 | kaio_medeiros
Success | 3196478 | Follow page | 0.08 | kaio_medeiros
Success | 3178391 | Follow page | 0.08 | kaio_medeiros
Hided | 4084969 | Watch video | 0.1 | id759752686
Hided | 4085011 | Share video | 0.07 | id759752686
Hided | 4084821 | Vote for answer 3. Болтунова Мария | 0.07 | id759752686
Hided | 3910035 | Write comment to post | 0.07 | id759752686
Hided | 4085010 | Liking video | 0.06 | id759752686
Success | 4085009 | Liking post | 0.06 | id759752686
Success | 4085008 | Liking post | 0.06 | id759752686
Hided | 4084772 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4084791 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4082989 | Vote for answer Истфак | 0.05 | id759752686
Stopped | 4076113 | Follow page | 0.05 | id759752686
Success | 3921231 | Follow page | 0.05 | id759752686
Success | 3416564 | Follow page | 0.05 | id759752686
Success | 4084966 | Liking post | 0.03 | id759752686
Success | 4084911 | Liking post | 0.03 | id759752686
Hided | 4085050 | Vote for answer Кустова Анна | 0.09 | id759752686
Success | 3912485 | Join group | 0.08 | id759752686
Hided | 4085096 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4085095 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4085043 | Рассказать друзьям о посте | 0.06 | id759752686
Stopped | 4085133 | Liking post | 0.05 | id759752686
Success | 4085139 | Liking post | 0.03 | id759752686
Success | 4085136 | Liking post | 0.03 | id759752686
Success | 4085187 | Follow page | 0.08 | id759752686
Success | 4085184 | Follow page | 0.07 | id759752686
Hided | 4085172 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4085202 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085201 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085200 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085199 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085198 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085197 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085196 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085195 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085194 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085193 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085192 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085191 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4085190 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4085187 | Follow page | 0.08 | kaio_medeiros
Success | 4064686 | Join group | 0.08 | kaio_medeiros
Success | 3178373 | Follow page | 0.08 | kaio_medeiros
Success | 3169645 | Follow page | 0.08 | kaio_medeiros
Success | 1943558 | Follow page | 0.08 | kaio_medeiros
Success | 1702425 | Join group | 0.08 | kaio_medeiros
Success | 4085184 | Follow page | 0.07 | kaio_medeiros
Success | 4081381 | Join group | 0.07 | kaio_medeiros
Success | 4080720 | Join group | 0.07 | kaio_medeiros
Success | 4049590 | Join group | 0.07 | kaio_medeiros
Success | 4043440 | Follow page | 0.07 | kaio_medeiros
Success | 3995134 | Follow page | 0.07 | kaio_medeiros
Success | 3816979 | Follow page | 0.07 | kaio_medeiros
Success | 3798289 | Follow page | 0.07 | kaio_medeiros
Success | 3579257 | Join group | 0.07 | kaio_medeiros
Success | 3406510 | Join group | 0.07 | kaio_medeiros
Hided | 4085188 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Hided | 4085186 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Hided | 4085181 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Hided | 4085180 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Hided | 4085177 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Success | 4085164 | Follow user | 0.05 | kaio_medeiros
Success | 4085163 | Liking post | 0.05 | kaio_medeiros
Hided | 4085153 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Success | 4084640 | Follow page | 0.05 | kaio_medeiros
Success | 4083939 | Follow page | 0.05 | kaio_medeiros
Success | 4082036 | Follow page | 0.05 | kaio_medeiros
Success | 4074561 | Join group | 0.05 | kaio_medeiros
Success | 4072118 | Join group | 0.05 | kaio_medeiros
Success | 4069808 | Follow page | 0.05 | kaio_medeiros
Success | 4067200 | Follow page | 0.05 | kaio_medeiros
Success | 4062672 | Join group | 0.05 | kaio_medeiros
Success | 4057581 | Join group | 0.05 | kaio_medeiros
Success | 4044610 | Liking post | 0.05 | kaio_medeiros
Success | 4042588 | Follow page | 0.05 | kaio_medeiros
Success | 4000028 | Follow page | 0.05 | kaio_medeiros
Success | 3994844 | Join group | 0.05 | kaio_medeiros
Success | 3870646 | Join group | 0.05 | kaio_medeiros
Success | 3867423 | Follow page | 0.05 | kaio_medeiros
Success | 3779160 | Follow page | 0.05 | kaio_medeiros
Success | 3704893 | Join group | 0.05 | kaio_medeiros
Success | 3697662 | Join group | 0.05 | kaio_medeiros
Success | 3691677 | Follow page | 0.05 | kaio_medeiros
Success | 3645457 | Follow page | 0.05 | kaio_medeiros
Success | 3645433 | Follow page | 0.05 | kaio_medeiros
Success | 3608988 | Follow page | 0.05 | kaio_medeiros
Success | 3543788 | Follow page | 0.05 | kaio_medeiros
Success | 3323298 | Follow page | 0.05 | kaio_medeiros
Success | 3154490 | Join group | 0.05 | kaio_medeiros
Success | 2457585 | Follow page | 0.05 | kaio_medeiros
Success | 4085270 | Liking photo | 0.05 | id759752686
Success | 4085265 | Liking photo | 0.05 | id759752686
Success | 4085163 | Liking post | 0.05 | id759752686
Success | 4085286 | Liking post | 0.03 | id759752686
Success | 4085284 | Liking post | 0.03 | id759752686
Success | 4085154 | Liking post | 0.03 | id759752686
Success | 4084690 | Liking post | 0.04 | kaio_medeiros
Success | 4085291 | Liking post | 0.03 | kaio_medeiros
Success | 4085289 | Liking post | 0.03 | kaio_medeiros
Success | 4085288 | Liking post | 0.03 | kaio_medeiros
Success | 4085287 | Liking post | 0.03 | kaio_medeiros
Stopped | 4085286 | Liking post | 0.03 | kaio_medeiros
Success | 4085284 | Liking post | 0.03 | kaio_medeiros
Success | 4085154 | Liking post | 0.03 | kaio_medeiros
Success | 4084911 | Liking post | 0.03 | kaio_medeiros
Success | 4079308 | Liking post | 0.03 | kaio_medeiros
Success | 3925366 | Liking post | 0.03 | kaio_medeiros
Hided | 4085381 | Vote for answer 1. Факультет транспорта, нефти и газа (ФТНГ) | 0.07 | id759752686
Hided | 4085375 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4079952 | Liking post | 0.03 | kaio_medeiros
Hided | 4085446 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 2558496 | Liking photo | 0.03 | kaio_medeiros
Hided | 4085458 | Vote for answer Фарик | 0.05 | id759752686
Success | 3784765 | Follow page | 0.08 | kaio_medeiros
Success | 3196556 | Join group | 0.08 | kaio_medeiros
Success | 4086285 | Join group | 0.08 | id759752686
Success | 4086127 | Follow page | 0.08 | id759752686
Hided | 4086185 | Vote for answer С-102/108 | 0.07 | id759752686
Success | 4086298 | Liking post | 0.06 | id759752686
Hided | 4086260 | Liking comment: #Антимодуль | 0.06 | id759752686
Hided | 4086293 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4086274 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4086273 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4086272 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4086178 | Follow page | 0.05 | id759752686
Success | 4086177 | Follow page | 0.05 | id759752686
Success | 4086175 | Follow page | 0.05 | id759752686
Success | 4086174 | Follow page | 0.05 | id759752686
Success | 4086173 | Follow page | 0.05 | id759752686
Success | 4086172 | Follow page | 0.05 | id759752686
Success | 4086171 | Follow page | 0.05 | id759752686
Success | 4086170 | Follow page | 0.05 | id759752686
Success | 4086169 | Follow page | 0.05 | id759752686
Success | 4086168 | Follow page | 0.05 | id759752686
Success | 4086285 | Join group | 0.08 | kaio_medeiros
Success | 4086127 | Follow page | 0.08 | kaio_medeiros
Success | 3994442 | Follow page | 0.08 | kaio_medeiros
Success | 3282299 | Follow page | 0.08 | kaio_medeiros
Success | 4086298 | Liking post | 0.06 | kaio_medeiros
Stopped | 4076059 | Liking photo | 0.06 | kaio_medeiros
Success | 4086178 | Follow page | 0.05 | kaio_medeiros
Success | 4086177 | Follow page | 0.05 | kaio_medeiros
Success | 4086175 | Follow page | 0.05 | kaio_medeiros
Success | 4086174 | Follow page | 0.05 | kaio_medeiros
Success | 4086173 | Follow page | 0.05 | kaio_medeiros
Success | 4086172 | Follow page | 0.05 | kaio_medeiros
Success | 4086171 | Follow page | 0.05 | kaio_medeiros
Success | 4086170 | Follow page | 0.05 | kaio_medeiros
Success | 4086169 | Follow page | 0.05 | kaio_medeiros
Success | 4086168 | Follow page | 0.05 | kaio_medeiros
Success | 4086167 | Follow page | 0.05 | kaio_medeiros
Success | 4086166 | Follow page | 0.05 | kaio_medeiros
Success | 4086164 | Follow page | 0.05 | kaio_medeiros
Success | 4086322 | Follow page | 0.08 | id759752686
Success | 4086330 | Follow user | 0.05 | id759752686
Success | 4086166 | Follow page | 0.05 | id759752686
Success | 4086164 | Follow page | 0.05 | id759752686
Success | 4086162 | Follow page | 0.05 | id759752686
Success | 4086161 | Follow page | 0.05 | id759752686
Success | 4086150 | Follow page | 0.05 | id759752686
Success | 4086147 | Follow page | 0.05 | id759752686
Success | 4086146 | Follow page | 0.05 | id759752686
Success | 4086145 | Follow page | 0.05 | id759752686
Success | 4086144 | Follow page | 0.05 | id759752686
Success | 4086143 | Follow page | 0.05 | id759752686
Success | 4086142 | Follow page | 0.05 | id759752686
Success | 4086141 | Follow page | 0.05 | id759752686
Success | 4086140 | Follow page | 0.05 | id759752686
Success | 4086139 | Follow page | 0.05 | id759752686
Success | 4086138 | Follow page | 0.05 | id759752686
Success | 4086137 | Follow page | 0.05 | id759752686
Success | 4086136 | Follow page | 0.05 | id759752686
Success | 4086322 | Follow page | 0.08 | kaio_medeiros
Hided | 4086352 | Write comment to post | 0.07 | kaio_medeiros
Hided | 4086308 | Рассказать друзьям о посте | 0.06 | kaio_medeiros
Hided | 4086349 | Рассказать друзьям о посте | 0.05 | kaio_medeiros
Hided | 4086330 | Follow user | 0.05 | kaio_medeiros
Hided | 4086161 | Follow page | 0.05 | kaio_medeiros
Hided | 4086150 | Follow page | 0.05 | kaio_medeiros
Hided | 4086147 | Follow page | 0.05 | kaio_medeiros
Hided | 4086146 | Follow page | 0.05 | kaio_medeiros
Hided | 4086145 | Follow page | 0.05 | kaio_medeiros
Hided | 4086144 | Follow page | 0.05 | kaio_medeiros
Hided | 4086143 | Follow page | 0.05 | kaio_medeiros
Hided | 4086142 | Follow page | 0.05 | kaio_medeiros
Hided | 4086141 | Follow page | 0.05 | kaio_medeiros
Hided | 4086140 | Follow page | 0.05 | kaio_medeiros
Hided | 4086139 | Follow page | 0.05 | kaio_medeiros
Hided | 4086138 | Follow page | 0.05 | kaio_medeiros
Hided | 4086137 | Follow page | 0.05 | kaio_medeiros
Hided | 4086136 | Follow page | 0.05 | kaio_medeiros
Hided | 4086133 | Follow page | 0.05 | kaio_medeiros
Hided | 4088243 | Follow user | 1.0 | id759752686
Success | 2310742 | Join group | 0.08 | id759752686
Success | 4087862 | Follow page | 0.07 | id759752686
Hided | 4086737 | Vote for answer 2. Нефтехимический институт (НХИ) | 0.07 | id759752686
Success | 4080148 | Follow page | 0.07 | id759752686
Success | 4088458 | Liking post | 0.06 | id759752686
Hided | 4087720 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4087549 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4086511 | Рассказать друзьям о посте | 0.06 | id759752686
Success | 4081917 | Liking post | 0.06 | id759752686
Success | 4088613 | Follow user | 0.05 | id759752686
Hided | 4088598 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4088576 | Liking post | 0.05 | id759752686
Stopped | 4088536 | Join group | 0.05 | id759752686
Hided | 4088514 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4088513 | Liking post | 0.05 | id759752686
Hided | 4088510 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4088489 | Follow user | 0.05 | id759752686
Hided | 4088453 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4088388 | Follow user | 0.05 | id759752686
Hided | 4088299 | Vote for answer к-11 | 0.05 | id759752686
Hided | 4088075 | Share video | 0.05 | id759752686
Hided | 4087329 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4087328 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4087242 | Vote for answer «Цвета Радуги», Тамбовская область | 0.05 | id759752686
Hided | 4087012 | Vote for answer 1. Факультет информационных технологий и компьютерных систем (ФИТиКС) | 0.05 | id759752686
Success | 4086255 | Follow page | 0.05 | id759752686
Hided | 3997251 | Рассказать друзьям о посте | 0.05 | id759752686
Stopped | 3832096 | Join group | 0.05 | id759752686
Hided | 4070039 | Рассказать друзьям о посте | 0.04 | id759752686
Success | 4088165 | Liking post | 0.03 | id759752686
Hided | 4087808 | Liking comment: Сивков Арсений, 1 г класс. Мамочка… | 0.03 | id759752686
Success | 4087099 | Liking photo | 0.03 | id759752686
Success | 4086888 | Liking post | 0.03 | id759752686
Success | 4086805 | Liking post | 0.03 | id759752686
Success | 4086790 | Liking post | 0.03 | id759752686
Hided | 4086442 | Vote for answer Федосова Варвара (9 лет) | 0.02 | id759752686
Hided | 4085718 | Watch video | 0.02 | id759752686
Hided | 4084312 | Vote for answer 1 Негомодзянова Ева | 0.02 | id759752686
Success | 4088354 | Follow user | 0.08 | kaio_medeiros
Success | 4063519 | Follow page | 0.08 | kaio_medeiros
Success | 3687008 | Follow user | 0.08 | kaio_medeiros
Success | 2310742 | Join group | 0.08 | kaio_medeiros
Success | 4087862 | Follow page | 0.07 | kaio_medeiros
Success | 4080148 | Follow page | 0.07 | kaio_medeiros
Success | 4044830 | Follow page | 0.07 | kaio_medeiros
Success | 4026250 | Follow user | 0.07 | kaio_medeiros
Success | 4088458 | Liking post | 0.06 | kaio_medeiros
Success | 4081917 | Liking post | 0.06 | kaio_medeiros
Hided | 4088635 | Share video | 0.05 | kaio_medeiros
Hided | 4088634 | Share video | 0.05 | kaio_medeiros
Hided | 4088613 | Follow user | 0.05 | kaio_medeiros
Success | 4088576 | Liking post | 0.05 | kaio_medeiros
Success | 4088513 | Liking post | 0.05 | kaio_medeiros
Success | 4088489 | Follow user | 0.05 | kaio_medeiros
Success | 4086255 | Follow page | 0.05 | kaio_medeiros
Success | 4055147 | Follow page | 0.05 | kaio_medeiros
Success | 4000069 | Follow page | 0.05 | kaio_medeiros
Success | 4088165 | Liking post | 0.03 | kaio_medeiros
Success | 4087099 | Liking photo | 0.03 | kaio_medeiros
Success | 4086888 | Liking post | 0.03 | kaio_medeiros
Success | 4086805 | Liking post | 0.03 | kaio_medeiros
Success | 4086790 | Liking post | 0.03 | kaio_medeiros
Hided | 4088684 | Рассказать друзьям о посте | 0.05 | id759752686
Success | 4088243 | Follow user | 0.2 | id759752686
Hided | 4090472 | Write comment to post | 0.09 | id759752686
Success | 4090364 | Follow page | 0.08 | id759752686
Hided | 4090459 | Follow user | 0.07 | id759752686
Hided | 3818649 | Follow user | 0.07 | id759752686
Hided | 4090474 | Рассказать друзьям о посте | 0.06 | id759752686
Hided | 4090456 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4090453 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4090379 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4090378 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4090377 | Рассказать друзьям о посте | 0.05 | id759752686
Hided | 4090376 | Рассказать друзьям о посте | 0.05 | id759752686
